,account,0x98Afac3b663113D29dc2Cd8C2d1d14793692F110,mvs_transfer_in,0xe9e7cea3dedca5984780bafc599bd69add087d56,0x55d398326f99059ff775485246999027b3197955,0xba2ae424d960c26247dd6c32edc70b295c744c43,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,external_approve,liquidity_method
19,0x0229e2ddd0f9e033d74b5d65fcbf543531ec8ec7,-174616580180545953129138,174616580180545953129138,702611356248540114925,0,0,0,False,False
20,0xa788dfdc2475abb45b2446bb3498203021e956eb,-13575078143695554732435667,13575078143695554732435667,47710588770759720528290,0,0,0,False,False
21,0x668e076e249322153c3caf37088eaf772544c109,546521962095777077185302,0,-955224137928143262580,0,0,0,False,False
22,0xf397526a5ae3411a71ddf971e5d55758ef901413,0,0,1112674061067774104,0,0,0,False,False
23,0xd6b5f69bf65e8ad6cb1fa12e55322fb0cdb1bcbd,0,0,17595071225402473366,0,0,0,False,False
24,0xb5d9a334464e51fdd50d58026b521293cd86c4b5,16434600597314678394739,0,-83950433212677294480,0,0,-10000000000000000,False,False
25,0xe864696077445a5fb07bddf5da72d9766457bc56,0,28666417605352810854734,0,0,0,0,False,False
26,0x3034caab0ef35c89eb47da2c5f8529238039f3da,51911659578070760756962,0,-129873888609299088509,0,0,0,False,False
27,0x08fc59916db531129044b3678ee836d0a3a874c2,1059782864782737565040954,0,-1535685849089174781211,0,0,0,False,False
28,0xf778d1344b736beae68329b6fade18021394a64f,5704628414834924761625990,0,-28599403324330920017719,0,0,0,False,False
29,0x939537e5ab6d212e4f4fd27c2c8f86c98b5ba179,0,0,44969079317071281050,0,0,0,False,False
30,0x738ade05fd357b6c6be32dc7619d79dc57a89d1b,0,0,34600998374918274024,0,0,0,False,False
31,0x6fb104a94367bbbb744fddcf9bba4b510de79357,0,0,2305167160802587760,0,0,0,False,False
32,0x3959af04d8cd4732aeec9f934fc156efc71a557a,0,0,1874495498344004703,0,0,0,False,False
33,0x64ac849a3cf59b3eb69e4b78dea8feecd93d586c,0,0,-44339371824000129782,0,0,0,False,False
34,0xa5827e07ecec7c2194d9dfeddf6931cea3238897,0,0,-3725464942036290804,0,0,0,False,False
35,0xc14662f466308e4cb5f0c260348205fc5d7e98fd,149098728774399948149369,0,-236294748581774396381,0,0,0,False,False
36,0xe31dc48d1cbc8b18b85e5779c5c0334dd44e8c12,-7832069478118247987097,7832069478118247987097,-25583676896998421445,0,0,0,False,False
37,0x73befbcfae9e239f742949faaf1389e367863788,0,0,79136661349627175527,0,0,0,False,False
38,0xd54eb4c28e8268b49f3cc98327d37901e8f8e362,0,0,-184641040717767914,0,0,0,False,False
39,0xc3f21ae34e365a6b1957d1b34e9b6a76d7b2e1ba,86619273352037930560838,0,-273215705707444532272,0,0,0,False,False
